"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2021","3,905.55","3,479.81","3,952.88","3,453.37","1.34M","12.19%"
"May 07, 2021","3,481.22","3,490.83","3,583.34","3,363.56","1.35M","-0.24%"
"May 06, 2021","3,489.52","3,522.74","3,601.59","3,380.60","1.51M","-0.94%"
"May 05, 2021","3,522.76","3,284.31","3,540.78","3,228.86","1.87M","7.18%"
"May 04, 2021","3,286.71","3,429.48","3,516.34","3,188.90","2.74M","-4.16%"
"May 03, 2021","3,429.37","2,950.07","3,451.44","2,950.07","2.32M","16.24%"
"May 02, 2021","2,950.33","2,945.04","2,984.52","2,854.12","1.30M","0.19%"
"May 01, 2021","2,944.66","2,772.27","2,951.74","2,753.60","1.51M","6.20%"
"Apr 30, 2021","2,772.78","2,757.02","2,797.61","2,726.03","1.52M","0.56%"
"Apr 29, 2021","2,757.36","2,746.51","2,797.52","2,670.35","1.65M","0.39%"
"Apr 28, 2021","2,746.54","2,665.83","2,759.03","2,562.74","1.74M","3.05%"
"Apr 27, 2021","2,665.24","2,531.07","2,677.95","2,484.44","1.45M","5.22%"
"Apr 26, 2021","2,533.12","2,320.63","2,539.80","2,305.97","1.79M","9.35%"
"Apr 25, 2021","2,316.48","2,217.23","2,355.20","2,169.91","1.02M","4.54%"
"Apr 24, 2021","2,215.93","2,367.35","2,367.46","2,159.60","1.61M","-6.39%"
"Apr 23, 2021","2,367.31","2,398.95","2,440.21","2,119.26","3.46M","-1.41%"
"Apr 22, 2021","2,401.10","2,360.32","2,642.99","2,313.46","3.17M","1.71%"
"Apr 21, 2021","2,360.81","2,331.84","2,467.51","2,238.15","2.10M","1.23%"
"Apr 20, 2021","2,332.14","2,161.06","2,345.18","2,058.00","1.86M","7.94%"
"Apr 19, 2021","2,160.63","2,236.10","2,275.87","2,081.30","1.90M","-3.42%"
"Apr 18, 2021","2,237.17","2,317.88","2,338.53","1,948.93","2.76M","-3.50%"
"Apr 17, 2021","2,318.33","2,424.12","2,493.93","2,314.12","1.73M","-4.33%"
"Apr 16, 2021","2,423.18","2,514.55","2,544.54","2,302.30","2.08M","-3.62%"
"Apr 15, 2021","2,514.22","2,432.90","2,541.90","2,402.75","1.91M","3.40%"
"Apr 14, 2021","2,431.56","2,299.25","2,445.40","2,281.49","2.11M","5.72%"
